data,ativo,preco,setup,score,decisao,direcao,entrada,stop,alvo
27/07/2026 08:23:02,,175670.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:03,,175695.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:04,,175680.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:06,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:07,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:08,,175700.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:09,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:11,,175685.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:12,,175685.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:13,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:15,,175680.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:16,,175670.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:17,,175685.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:19,,175685.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:20,,175680.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:21,,175685.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:23,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:24,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:25,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:33,,175180.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:35,,175155.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:36,,175145.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:37,,175135.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:39,,175130.0,NENHUM,2,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:40,,175130.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:41,,175140.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:43,,175130.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:05:44,,175115.0,NENHUM,2,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:08,,175430.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:09,,175430.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:11,,175395.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:12,,175400.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:14,,175415.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:15,,175410.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:18,,175365.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:19,,175370.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 10:10:21,,175355.0,NENHUM,4,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
